flux,reaction,percent,reaction_name,model
-0.1334626774113506,r8,3.45,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase,iLC915
-0.1186109043995743,r48,3.07,(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating),iLC915
-0.0981176536235076,r21,2.54,3-oxoacyl-[acyl-carrier-protein] reductase,iLC915
-0.0962965286526567,r256,2.49,5-methyltetrahydrofolate:NADP+ oxidoreductase,iLC915
-0.0936144955254601,r185,2.42,Trans-2-enoyl-CoA reductase,iLC915
-1.3579130632252334,GLUDyi,68.64,glutamate dehydrogenase (NADP),iMT1026v3
-0.0707194760824927,ASADi,3.57,"aspartate-semialdehyde dehydrogenase, irreversible",iMT1026v3
-0.0704563854932786,SACCD1,3.56,"saccharopine dehydrogenase (NADP, L-glutamate forming)",iMT1026v3
-0.0680573583216777,SHK3D,3.44,shikimate dehydrogenase,iMT1026v3
-0.0395952474707705,HMGCOAR,2.0,Hydroxymethylglutaryl CoA reductase,iMT1026v3
