EC;enzyme_name;enzyme_abbreviation;pathway_name;location;iYali4_flux;iYali4_reaction_id;iYali4_min;iYali4_max;iYLI647_flux;iYLI647_reaction_id;iYLI647_min;iYLI647_max;iMT1026v3_flux;iMT1026v3_reaction_id;iMT1026v3_min;iMT1026v3_max;iYli21_flux;iYli21_reaction_id;iYli21_min;iYli21_max
6.4.1.1;pyruvate carboxylase (Pyruvate -> Oxaloacetate);--;PyruvateOxidation;cytosol;34.77246344852593;958;34.77246344853745;34.77246344849959;22.129257420549123;PC;22.129257420549855;22.129257420601107;29.885640433241377;PC;29.88564043313316;29.885640433267554;46.76671333970703;R690;46.76671333980929;46.76671333974957
pyruvate_mitochodrial_transport;pyruvate mitochondrial transport via proton symport;--;PyruvateOxidation;cytosol <=> mitochondrial;78.41570342703601;2034;78.41570342695914;78.4157034270005;85.41538421299393;PYRt2m;85.41538421304779;85.41538421298084;74.16410512422277;PYRt2m;74.1641051241771;74.16410512424287;53.09870390763827;R1311;53.09870390763342;53.09870390751428
1.1.1.37;malate dehydrogenase (malate to oxaloacetate (producing oxaloacetate));--;PyruvateOxidation;cytosol <=> mitochondrial;76.0259914718691;713;59.198722348704926;1000.0;24.37558589915909;MDHm;0.0;32.59248460909748;181.96659629049506;MDHm;181.96659629064652;187.30913354536904;62.66539181239204;R533;33.86215015016353;164.27835035187638
1.2.4.1;pyruvate dehydrogenase E1 (Pyruvate -> Acetyl-CoA);--;PyruvateOxidation;mitochondrial;75.09804658609647;961;75.09804658616827;75.09804658603468;50.26883789761938;PDHm;50.268837897883884;50.268837897634064;64.23345939721919;PDHa1;62.62347294468948;64.23345939731489;49.77766800145895;R693;49.77766800146598;49.77766800145401
2.3.1.12;pyruvate dehydrogenase E2 component (Pyruvate -> Acetyl-CoA);--;PyruvateOxidation;mitochondrial;;;;;;;;;62.23791457850291;PDHbrm;60.627928126072305;62.23791457882642;;;;
2.3.3.1;citrate synthase (Oxaloacetate + Acetyl-CoA -> Citrate);--;TCA;mitochondrial;59.19872234871918;300;59.19872234889358;59.19872234866924;32.59248460909154;CSm;32.59248460912392;32.59248460915974;48.65423450348152;CSm;48.65423450327221;48.654234503459335;33.86215015020222;R236;33.862150150192946;33.862150150219094
4.2.1.3;aconitase (citrate to cis-aconitate(3-));--;TCA;mitochondrial;47.01654970020075;2305;0.0;1000.0;12.963369875737357;ACONT;0.0;32.5924846089913;48.654234503481526;ACONTm;0.0;48.65423450349395;8.014828927581632;R238;0.0;33.862150150185585
1.1.1.41;isocitrate dehydrogenase (NAD+);--;TCA;mitochondrial;-66.647245782592;658;-963.9377878087104;-66.64724578244522;0.0;ICDHxm;0.0;-9.206253537286102e-10;40.26567235312212;ICDHxm;38.486783783768715;40.26567234906214;0.0;R487;0.0;6.214406766957836e-11
1.2.4.2;oxoglutarate dehydrogenase (lipoamide);--;TCA;mitochondrial;28.705625425834356;832;28.705625425832604;28.705625425808194;;;;;;;;;15.53257602424177;R614;15.532576024184522;15.5325760242293
2.3.1.61;oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase);--;TCA;mitochondrial;28.705625425834356;831;28.705625425835706;28.705625425839486;18.621067223346788;AKGDbm;18.62106722336523;18.62106722335481;29.333363396031523;AKGDbm;27.72337694312659;29.333363396038543;15.53257602424177;R613;15.532576024141477;15.532576024237983
6.2.1.4;succinate-CoA ligase (ADP-forming);--;TCA;mitochondrial;28.705625425834356;1022;28.705625425819207;28.705625425805877;-18.621067223346788;SUCOASm;-18.621067223341512;-18.62106722227327;-29.333268217791257;SUCOASm;-29.33326821782213;-27.723281764278795;15.53257602424177;R741;15.532576024212005;15.53257602423919
6.2.1.5;succinate-CoA ligase (ADP-forming) or itaconate-CoA ligase (ADP-forming);--;TCA;mitochondrial;0.0;668;0.0;0.0;0.0;ITCOALm;0.0;0.0;0.0;ITCOALm;0.0;0.0;0.0;R496;0.0;0.0
1.3.5.1;succinate dehydrogenase (ubiquinone-6);--;TCA;mitochondrial;33.87892502548291;1021;33.8789250253825;33.87892502549971;20.172174053551377;SUCD2_u6m;20.17217405361156;20.172174053546282;30.719604127406175;SUCD2_u6m;0.0;30.7196041273869;20.711144679036778;R740;20.71114467898234;20.7111446790478
4.2.1.2;fumarase (fumarate to malate);--;TCA;mitochondrial;28.705625425834356;451;28.705625425795418;28.705625425792142;20.172174053551377;FUMm;20.172174053416484;20.17217405356368;144.24275491498764;FUMm;144.24275491491028;1000.0;15.53257602424177;R314;15.53257602403734;15.532576024282122
